epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,18.0985,1.50825,4.05956,1.56889,0.15471,0.19048,0.11292,0.0773,1.31003,3.36768,1.71547,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052,0.00156,0.00052
2,34.0957,1.44886,2.33494,1.60636,0.87415,0.71429,0.83786,0.5067,1.20978,1.99435,1.64494,0.00316741,0.0010558,0.00316741,0.0010558,0.00316741,0.0010558,0.00316741,0.0010558
3,50.297,1.35874,1.67694,1.47821,0.9052,0.90947,0.95765,0.59335,1.18792,1.27231,1.60963,0.00476198,0.00158733,0.00476198,0.00158733,0.00476198,0.00158733,0.00476198,0.00158733
4,67.589,1.31439,1.48933,1.43771,0.92428,0.92857,0.9563,0.58695,1.20652,1.1091,1.56618,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624,0.00592872,0.00197624
5,83.5321,1.32915,1.16397,1.42841,0.97664,0.99562,0.99244,0.56167,1.25523,0.7779,1.47288,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832,0.00590496,0.00196832
6,99.2661,1.36832,1.00201,1.38881,0.95404,0.98872,0.99074,0.53619,1.30219,0.71743,1.51793,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
7,115.206,1.35424,0.86317,1.40896,0.94766,1,0.99245,0.57207,1.31073,0.59644,1.54315,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248,0.00585744,0.00195248
8,132.313,1.3371,0.82909,1.39888,1,0.96986,0.99367,0.60606,1.26315,0.5424,1.60431,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456,0.00583368,0.00194456
9,148.696,1.31819,0.76067,1.40486,0.96803,1,0.99291,0.59723,1.25646,0.61836,1.62474,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664,0.00580992,0.00193664
10,165.588,1.25975,0.70247,1.36701,0.99571,1,0.995,0.60012,1.25454,0.53883,1.65598,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872,0.00578616,0.00192872
11,182.271,1.20242,0.64839,1.2956,0.97437,1,0.99407,0.59155,1.26379,0.53528,1.65791,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
12,198.355,1.26802,0.65197,1.37079,0.97479,1,0.9764,0.56978,1.2567,0.58302,1.65423,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288,0.00573864,0.00191288
13,214.443,1.18667,0.64184,1.27912,0.97295,0.97619,0.97266,0.57556,1.24094,0.58223,1.64587,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496,0.00571488,0.00190496
14,231.057,1.18814,0.61672,1.29496,0.95436,0.9959,0.97552,0.58937,1.19798,0.57261,1.63101,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704,0.00569112,0.00189704
15,247.283,1.19372,0.60141,1.26492,0.97617,0.97525,0.9751,0.5884,1.21879,0.53343,1.62166,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912,0.00566736,0.00188912
